G082 101.010 36.880 -1.48 -1.35 0.97 0.97 -0.000
G083 103.250 36.710 -0.11 0.11 0.71 0.71 -0.001
G084 101.240 36.700 -1.06 -0.09 0.98 0.98 -0.001
G085 104.740 36.430 0.04 -0.56 0.70 0.70 -0.001
G086 104.360 36.660 0.05 -0.17 0.95 0.95 0.001
G087 102.380 36.500 1.86 -1.05 0.71 0.71 0.000
G089 101.540 36.490 -0.21 -0.77 0.92 0.92 -0.000
G090 100.270 36.620 -0.53 -1.46 0.71 0.71 -0.000
G091 103.440 37.150 -2.46 0.42 0.97 0.97 -0.001
G092 103.990 36.490 0.06 0.22 0.70 0.70 -0.001
G093 102.890 36.330 0.07 0.92 0.70 0.70 0.000
G094 100.960 36.400 -0.18 -0.71 0.71 0.70 -0.000
G095 103.420 36.150 0.88 -1.10 0.71 0.71 -0.001
G096 101.990 36.210 0.23 -0.27 0.71 0.71 -0.000
G097 100.550 36.220 0.46 -0.76 0.70 0.70 0.000
G098 102.260 36.120 0.04 -0.48 0.93 0.93 0.001
G099 103.990 36.000 -0.43 -0.78 0.73 0.73 0.001
G100 101.110 36.450 -0.05 -1.34 0.98 0.98 -0.003
G101 103.330 35.930 0.56 0.60 0.71 0.71 -0.000
G102 102.030 35.920 1.10 -0.13 0.98 0.98 -0.004
G103 101.440 36.080 0.11 -2.48 0.70 0.70 0.000
G104 104.160 35.880 -0.28 0.51 0.92 0.92 -0.002
G105 102.790 35.880 0.33 -0.00 0.92 0.91 0.006
G106 102.540 35.840 0.88 0.13 0.96 0.96 -0.002
G107 104.550 35.540 -0.25 -0.16 0.59 0.58 -0.000
G108 103.210 35.570 0.51 0.16 0.74 0.74 -0.002
G109 102.050 35.540 1.77 0.79 0.61 0.61 0.001
G110 106.680 34.950 -1.68 0.07 0.71 0.71 -0.000
G111 103.840 35.380 -1.25 -0.75 0.88 0.87 -0.001
G112 103.340 35.410 0.51 -0.09 0.99 0.99 -0.002
G113 102.810 35.260 1.10 -0.47 0.71 0.71 0.013
G114 104.100 35.040 -0.03 -0.16 0.73 0.73 -0.001
G115 102.440 35.120 0.88 0.42 0.95 0.94 0.001
G116 104.540 35.050 -1.24 -0.88 0.76 0.76 -0.007
G117 103.710 35.290 0.36 0.21 0.99 0.99 -0.001
G118 102.890 34.950 2.09 -0.88 0.76 0.76 -0.001
G119 104.480 34.850 0.21 0.86 0.90 0.90 -0.004
G120 104.940 34.710 -0.01 -0.43 0.71 0.71 -0.000
G121 104.910 34.470 0.39 -0.07 0.71 0.71 -0.002
G122 97.050 41.850 -12.37 -5.98 0.71 0.71 -0.000
G123 95.460 41.070 -12.36 -6.01 0.73 0.73 -0.001
G125 96.710 40.640 -11.76 -5.84 0.99 0.99 -0.001
G127 97.680 40.270 -11.49 -5.59 0.72 0.72 -0.001
G128 97.080 40.290 -12.06 -5.15 0.71 0.71 -0.000
G129 97.440 40.030 -11.67 -5.75 0.71 0.71 0.002
G130 96.750 40.040 -11.62 -5.11 0.92 0.92 0.000
G131 95.710 40.080 -12.58 -5.54 0.99 0.99 0.001
G132 98.890 39.910 -11.53 -5.07 0.71 0.71 0.000
G133 99.600 39.700 -10.81 -3.79 0.93 0.93 -0.000
G134 102.320 38.700 -8.67 -1.71 0.71 0.71 -0.001
G135 98.500 39.710 -11.16 -4.99 0.71 0.71 -0.000
G136 98.190 39.840 -11.39 -4.64 0.97 0.97 0.000
G137 97.920 39.850 -11.49 -4.82 1.18 1.18 0.000
G138 97.700 39.570 -10.32 -4.07 0.98 0.98 -0.001
G139 96.750 39.900 -12.05 -5.31 0.92 0.92 0.001
G141 101.140 38.930 -9.32 -2.11 0.71 0.71 -0.000
G142 98.800 39.410 -8.70 -4.66 0.93 0.93 -0.000
G143 99.610 39.150 -9.84 -3.58 0.71 0.71 -0.001
G144 98.000 39.190 -9.18 -4.55 0.71 0.71 0.000
G145 95.610 39.710 -11.32 -5.84 0.71 0.71 0.000
G146 99.620 38.830 -8.54 -3.48 0.72 0.72 0.003
G147 98.270 38.970 -8.52 -3.85 0.91 0.91 -0.001
G148 99.560 38.440 -7.56 -2.84 0.71 0.71 -0.000
G149 98.850 37.980 -4.04 -2.72 0.91 0.90 -0.000
G150 98.660 37.580 -2.94 -2.33 0.19 0.19 0.000
G152 99.490 37.130 -1.32 -2.11 0.71 0.71 -0.001
G153 99.010 37.300 -2.51 -2.44 0.94 0.94 0.001
G154 98.340 37.310 -3.58 -2.27 0.97 0.97 0.001
G156 96.700 37.360 -5.12 -3.46 0.92 0.92 0.000
G157 99.900 36.690 -0.40 -1.06 0.80 0.80 0.000
G158 99.070 36.800 -0.49 -2.28 0.91 0.91 -0.003
G159 98.460 36.940 -2.03 -2.34 0.71 0.71 -0.000
G160 95.000 40.550 -11.98 -6.60 0.99 0.99 0.000
G161 94.810 40.170 -11.19 -7.01 0.59 0.59 0.000
G162 94.550 39.720 -11.31 -6.59 0.71 0.70 -0.001
G163 93.490 39.640 -10.99 -6.74 0.71 0.71 0.001
G164 94.860 39.510 -9.69 -6.26 0.95 0.95 -0.000
G165 93.000 39.290 -9.09 -6.37 0.98 0.98 -0.003
G167 94.360 38.810 -7.08 -5.90 0.99 0.99 0.001
G169 95.000 38.060 -9.33 -5.40 0.72 0.72 -0.002
G170 93.500 37.900 -6.96 -4.03 0.91 0.91 0.004
G171 90.800 38.290 -4.66 -2.23 0.71 0.71 0.001
G172 89.200 38.720 -10.72 -6.63 0.19 0.18 0.001
G301 97.050 42.270 -11.08 -8.08 1.78 1.78 -0.000
G303 102.880 41.810 -11.31 -4.20 1.84 1.83 0.001
G305 96.920 41.230 -9.50 -6.62 1.80 1.80 -0.002
G306 103.730 39.950 -12.23 -2.57 1.82 1.81 -0.002
G307 101.970 39.330 -9.94 -3.70 1.76 1.75 -0.002
G308 98.550 39.940 -9.74 -4.05 1.76 1.76 0.000
G310 105.090 39.630 -6.12 2.43 1.72 1.71 -0.011
G311 94.330 39.620 -8.16 -8.33 1.79 1.78 0.001
G312 94.260 39.410 -5.60 -7.11 1.79 1.79 0.002
G313 97.090 39.460 -6.04 -6.24 1.76 1.76 -0.000
G314 94.310 39.160 -5.90 -9.25 1.82 1.81 0.002
G315 95.460 39.250 -3.64 -6.61 1.81 1.80 -0.001
G316 90.730 38.870 -5.56 -5.61 1.81 1.80 0.004
G318 100.170 38.970 -9.33 -2.76 1.58 1.58 0.002
G319 91.500 38.760 -8.64 -7.18 1.89 1.87 0.007
G320 101.010 38.720 -6.66 -3.65 1.78 1.77 -0.002
G321 100.870 38.610 -5.92 -1.90 1.78 1.78 -0.001
G322 89.560 38.520 -7.94 -7.55 1.80 1.79 0.006
G323 93.420 38.530 -4.62 -5.82 1.82 1.80 0.001
G324 89.870 38.440 -5.60 -6.12 1.80 1.79 0.004
G326 90.100 38.350 -3.13 -6.27 1.80 1.79 0.006
G328 90.270 38.290 -4.08 -5.09 1.84 1.82 0.006
G329 100.740 38.440 -4.70 -2.35 1.33 1.33 -0.001
G330 100.340 38.170 -6.15 -1.68 1.77 1.75 0.000
G331 102.750 38.170 -4.92 -0.65 1.77 1.76 -0.004
G332 92.420 38.070 -3.03 -2.89 1.81 1.80 0.005
G333 89.340 38.110 -2.51 -6.68 1.82 1.80 0.003
G334 100.240 38.010 -4.55 -2.09 1.81 1.80 -0.002
G335 91.680 37.850 -4.55 -3.78 1.81 1.80 0.005
G336 99.410 37.620 -3.03 -3.40 1.81 1.79 -0.002
G337 101.730 37.420 -2.36 -2.46 1.80 1.79 0.000
G338 100.900 37.660 -1.44 -1.57 1.76 1.75 0.002
G339 90.920 37.020 -0.04 -3.70 1.87 1.86 0.009
G340 106.220 37.280 -4.49 0.56 1.87 1.86 -0.006
G341 95.480 37.220 -1.24 -0.59 1.82 1.81 -0.001
G342 106.620 37.120 -2.98 0.71 1.86 1.85 -0.006
G343 104.050 36.990 -1.06 -0.61 1.83 1.83 -0.004
G344 95.370 36.950 -0.10 -1.61 1.83 1.81 0.000
G345 105.640 36.830 -1.04 0.23 1.85 1.84 -0.007
G346 93.620 36.750 -4.46 -4.70 1.81 1.80 0.000
G347 91.890 37.040 -0.20 -2.36 1.89 1.86 0.004
G348 106.680 36.570 -2.10 1.57 1.87 1.86 -0.005
G349 96.450 36.440 -3.47 -1.03 1.82 1.80 -0.002
G351 99.770 36.250 -0.65 -0.61 1.77 1.76 -0.002
G352 105.370 36.000 2.09 0.13 1.93 1.91 -0.006
G354 101.360 35.720 -0.54 0.04 1.82 1.80 -0.003
G355 106.340 35.390 0.57 0.60 1.96 1.94 -0.005
G356 106.210 35.250 -0.06 1.15 1.97 1.96 -0.004
G357 105.200 35.220 2.25 -1.15 1.55 1.54 -0.002
G358 100.810 35.240 4.17 2.13 1.80 1.79 -0.003
G359 106.810 35.140 -0.11 -3.89 1.96 1.94 -0.005
G360 101.710 35.050 5.19 -1.48 1.90 1.88 -0.005
G362 106.560 34.730 3.30 0.24 1.72 1.70 -0.012
G364 101.880 34.570 3.98 0.11 1.91 1.88 -0.003
GRHI 82.490 27.950 10.39 9.17 0.53 0.52 0.054
GSAX 95.760 40.520 -12.33 -6.48 0.50 0.50 -0.028
GSDH 94.680 40.140 -11.14 -7.16 0.59 0.59 -0.024
GSDX 104.600 35.550 -0.26 -0.12 0.59 0.58 -0.053
GSGL 102.890 37.450 -3.93 -0.58 0.58 0.58 0.029
GSGT 99.810 39.410 -10.76 -3.97 0.48 0.48 -0.039
GSJN 105.760 35.530 0.28 -1.34 1.05 1.05 -0.047
GSJT 104.060 37.180 -2.69 -0.70 1.05 1.05 -0.054
GSJY 98.220 39.810 -8.86 -5.31 1.05 1.05 -0.035
GSLX 104.650 35.000 0.72 -1.26 1.05 1.05 -0.037
GSLZ 103.670 36.080 1.57 -0.03 1.05 1.05 -0.057
GSMA 102.060 34.020 5.27 -2.30 0.69 0.69 -0.039
GSML 100.820 38.440 -6.01 -2.16 1.05 1.05 -0.047
GSMQ 103.090 38.630 -6.99 -1.77 1.05 1.05 -0.047
GSMX 104.020 34.430 1.03 -1.75 0.71 0.71 -0.054
GSPL 106.590 35.550 -0.32 -0.12 1.05 1.05 -0.055
GSQS 106.210 34.750 -1.23 -0.85 0.69 0.69 -0.055
GSTS 105.910 34.480 0.59 -2.38 1.06 1.05 -0.030
GSWD 104.820 33.420 -0.00 -1.57 0.62 0.61 -0.006
GUAO 87.180 43.470 -12.82 -11.57 0.51 0.51 0.011
GZFG 107.730 27.980 6.79 1.22 1.07 1.06 -0.048
GZSC 104.860 26.590 10.08 -2.82 1.06 1.04 -0.033
H001 106.510 33.910 -1.58 -0.61 0.71 0.71 0.000
H002 105.810 33.890 -1.77 -2.78 0.71 0.71 -0.000
H003 105.310 34.110 -2.66 -1.83 0.97 0.97 -0.002
H004 106.920 33.620 0.50 -2.07 0.73 0.73 -0.002
H005 105.590 33.700 1.07 -2.72 0.98 0.98 -0.001
H006 105.290 33.780 -3.34 -1.96 0.74 0.74 0.001
H007 106.150 33.340 -0.57 -1.41 0.71 0.71 0.000
H008 105.630 33.400 -1.06 -2.09 0.74 0.74 0.003
H009 106.020 32.960 0.50 -1.46 0.98 0.97 -0.002
H010 105.230 32.570 1.07 -1.72 0.92 0.92 0.008
H011 105.830 32.450 1.64 -0.86 0.79 0.78 -0.001
H012 105.460 32.020 0.67 -1.67 0.96 0.96 -0.001
H013 103.250 34.750 0.83 -0.79 0.71 0.71 -0.001
H014 104.070 34.400 1.07 -1.70 0.71 0.71 -0.001
H015 102.500 34.590 0.85 -0.12 0.92 0.92 -0.001
H016 104.380 34.050 -0.09 -1.46 0.93 0.93 -0.002
H017 103.150 34.110 1.93 -1.50 0.71 0.71 -0.002
H018 102.130 34.000 5.28 -2.22 0.69 0.69 -0.002
H019 104.400 33.790 -0.07 -1.93 0.72 0.71 0.008
H020 103.730 33.940 1.04 -1.07 0.71 0.71 -0.000
H021 104.820 33.420 -0.00 -1.57 0.62 0.61 -0.001
H022 104.620 33.000 0.03 -2.99 0.71 0.71 0.000
H024 104.230 33.230 5.64 -4.62 0.75 0.75 -0.001
H025 103.430 32.930 3.01 -3.40 0.94 0.94 -0.002
H026 102.990 33.570 4.42 -2.98 1.00 1.00 -0.000
H027 101.480 33.430 5.61 -2.34 0.74 0.74 -0.001
H028 101.710 32.900 6.27 -3.38 0.97 0.96 -0.002
H029 100.590 33.090 8.26 -2.71 0.92 0.92 -0.003
H030 103.610 32.590 2.33 -3.19 0.71 0.71 0.000
H031 102.500 32.790 4.40 -2.92 0.95 0.95 0.004
