G045	100.79	39.61	0.1	0.95	2.1	0.95	0.0005	1.1	1.22	-0.3	1.29
G046	102.78	39.41	-0.3	0.71	2.3	0.71	-0.0003	3.4	1.51	2.0	1.57
G047	101.66	39.22	-1.0	0.62	2.5	0.62	-0.0029	2.3	1.77	0.9	1.82
G048	100.32	39.24	0.1	0.97	1.8	0.97	-0.0010	1.4	1.34	0.0	1.40
G049	102.57	39.13	0.1	0.71	2.9	0.71	-0.0013	1.7	1.53	0.3	1.58
G050	103.36	38.85	-1.0	0.98	3.4	0.98	-0.0001	1.5	1.36	0.1	1.42
G051	100.73	38.88	1.1	0.91	2.7	0.91	0.0002	0.7	1.04	-0.7	1.12
G052	101.19	38.72	0.0	0.97	1.5	0.97	0.0001	2.0	1.33	0.6	1.40
G053	103.19	38.54	1.1	0.77	4.3	0.77	0.0008	0.6	1.84	-0.8	1.89
G054	100.35	38.61	1.7	0.99	3.6	0.99	-0.0007	0.5	1.42	-1.0	1.47
G055	101.35	38.16	0.9	0.77	4.8	0.77	-0.0004	1.0	1.81	-0.4	1.86
G056	102.89	38.42	0.0	0.71	4.0	0.71	-0.0003	0.9	1.52	-0.5	1.57
G057	102.15	38.43	1.0	0.97	4.3	0.97	-0.0017	2.5	1.32	1.1	1.39
G058	101.74	38.30	0.8	0.17	4.2	0.17	-0.0003	1.9	0.81	0.5	0.90
G059	100.83	38.35	1.2	0.74	3.6	0.74	-0.0008	2.1	1.65	0.7	1.70
G060	102.11	38.28	0.8	0.71	4.1	0.71	-0.0004	2.0	1.52	0.6	1.57
G061	102.26	38.14	0.5	0.19	4.1	0.19	0.0013	1.0	0.92	-0.4	1.00
G062	100.24	38.18	1.7	0.19	4.4	0.19	0.0011	2.8	0.92	1.4	1.00
G063	102.64	37.78	0.8	0.71	4.7	0.71	-0.0015	3.4	1.53	2.0	1.59
G064	102.32	37.96	0.8	0.71	5.2	0.71	-0.0022	2.3	1.53	0.9	1.58
G065	100.94	37.97	1.6	0.99	5.4	0.99	0.0002	3.0	1.44	1.6	1.50
G066	102.62	37.51	1.7	0.97	6.6	0.97	-0.0012	2.9	1.31	1.5	1.37
G067	104.33	37.45	0.5	0.71	4.9	0.71	-0.0006	1.7	1.51	0.2	1.57
G068	103.38	37.56	0.6	1.19	4.5	1.19	-0.0002	1.9	0.96	0.5	1.04
G069	102.85	37.44	0.5	0.58	6.5	0.58	0.0000	1.5	1.49	0.1	1.55
G070	101.40	37.46	1.4	0.69	8.7	0.69	0.0000	1.3	1.09	-0.1	1.16
G071	100.43	37.61	2.1	0.74	8.4	0.74	0.0002	2.4	1.69	1.0	1.73
G072	104.09	37.24	0.3	0.71	6.0	0.71	-0.0006	3.0	1.52	1.6	1.58
G073	102.98	37.15	1.4	0.73	7.8	0.73	-0.0005	3.3	1.64	1.8	1.69
G074	102.01	37.32	1.7	0.98	8.1	0.98	0.0003	1.8	1.40	0.4	1.46
G075	100.16	37.31	1.6	0.72	8.9	0.72	-0.0004	4.3	1.35	2.9	1.42
G076	100.48	37.22	2.4	0.71	8.5	0.71	-0.0001	2.9	1.52	1.5	1.57
G077	104.63	36.91	-0.8	0.71	8.2	0.71	-0.0002	2.3	1.52	0.9	1.58
G079	103.16	36.89	1.1	0.94	9.2	0.94	0.0000	2.8	1.18	1.4	1.25
G080	101.63	36.98	1.4	0.70	9.6	0.70	-0.0001	-0.3	1.50	-1.7	1.55
G081	102.56	36.89	1.7	0.99	8.6	0.99	-0.0001	-1.0	1.41	-2.4	1.47
G082	101.01	36.88	1.8	0.97	8.2	0.97	-0.0004	2.0	1.31	0.5	1.37
G083	103.25	36.71	0.8	0.71	9.4	0.71	-0.0005	3.5	1.52	2.0	1.57
G084	101.24	36.70	2.8	0.98	8.4	0.98	-0.0005	-1.0	1.38	-2.4	1.44
G085	104.74	36.43	-1.5	0.70	9.2	0.70	-0.0005	3.4	1.50	2.0	1.56
G086	104.36	36.66	-0.7	0.95	9.5	0.95	0.0006	3.1	1.23	1.7	1.30
G087	102.38	36.50	0.6	0.71	11.1	0.71	0.0001	0.1	1.52	-1.4	1.58
G089	101.54	36.49	1.8	0.92	9.0	0.92	-0.0004	0.3	1.07	-1.1	1.15
G090	100.27	36.62	2.5	0.71	8.8	0.71	-0.0002	0.1	1.51	-1.3	1.56
G091	103.44	37.15	0.9	0.97	7.6	0.97	-0.0014	2.6	1.32	1.2	1.38
G092	103.99	36.49	0.1	0.70	9.3	0.70	-0.0010	2.8	1.51	1.4	1.56
G093	102.89	36.33	2.0	0.70	9.1	0.70	0.0001	0.2	1.49	-1.2	1.55
